-DOCSTART-	O
alpha	B-1
application	B-1
software	I-1
applications	B-1
assembly	B-1
language	I-1
backup	B-1
basic	B-1
input/output	I-1
system	I-1
BIOS	B-1
changeover	B-1
compilation	B-1
compilation	B-1
process	I-1
computer	B-1
computer	B-1
aided	I-1
design	I-1
computer	B-1
application	I-1
computer	B-1
applications	I-1
computer	B-1
control	I-1
computer	B-1
generated	I-1
computer	B-1
generated	I-1
animation	I-1
computer	B-1
system	I-1
computer	B-1
use	I-1
computers	B-1
contents	B-1
corrective	B-1
corrective	B-1
maintenance	I-1
cost	B-1
effective	I-1
create	B-1
solution	I-1
current	B-1
system	I-1
data	B-1
flow	I-1
design	B-1
evaluation	I-1
design	B-1
review	I-1
design	B-1
validation	I-1
developmental	B-1
testing	I-1
diagram	B-1
distributed	B-1
distributed	B-1
system	I-1
distributed	B-1
systems	I-1
efficiency	B-1
erroneous	B-1
data	I-1
error	B-1
errors	B-1
executable	B-1
final	B-1
system	I-1
first	B-1
come	I-1
first	I-1
served	I-1
flow	B-1
flow	B-1
of	I-1
data	I-1
flowchart	B-1
flowcharts	B-1
further	B-1
development	I-1
input/output	B-1
input/output	B-1
system	I-1
interaction	B-1
intermediate	B-1
code	I-1
intermediate	B-1
language	I-1
invalid	B-1
idata	I-1
lost	B-1
data	I-1
maintainability	B-1
maintenance	B-1
merit	B-1
merits	B-1
output	B-1
to	I-1
screen	I-1
outputting	B-1
to	I-1
screen	I-1
perfective	B-1
perfective	B-1
maintenance	I-1
pilot	B-1
program	B-1
test	I-1
program	B-1
testing	I-1
program	B-1
tests	I-1
review	B-1
safety	B-1
safety	B-1
critical	I-1
safety	B-1
critical	I-1
system	I-1
safety	B-1
critical	I-1
systems	I-1
semantic	B-1
semantic	B-1
analysis	I-1
semantics	B-1
system	B-1
system	B-1
software	I-1
systems	B-1
systems	B-1
analysis	I-1
systems	B-1
software	I-1
time	B-1
scale	I-1
waterfall	B-1
architecture	B-2
architectures	B-2
assembler	B-2
assemblers	B-2
barcode	B-2
reader	I-2
bespoke	B-2
capacity	B-2
command	B-2
commands	B-2
communication	B-2
communication	B-2
element	I-2
communication	B-2
elements	I-2
communications	B-2
compiler	B-2
compilers	B-2
component	B-2
components	B-2
computer	B-2
architecture	I-2
computer	B-2
architectures	I-2
contemporary	B-2
secondary	I-2
storage	I-2
device	I-2
control	B-2
system	I-2
control	B-2
systems	I-2
correspondence	B-2
data	B-2
storage	I-2
defragmentation	B-2
dependability	B-2
device	B-2
device	B-2
allocation	I-2
devices	B-2
disc	B-2
disc	B-2
storage	I-2
discs	B-2
embedded	B-2
expert	B-2
system	I-2
expert	B-2
systems	I-2
flash	B-2
fragmentation	B-2
general	B-2
input	I-2
half	B-2
duplex	I-2
handshaking	B-2
hard	B-2
disk	I-2
hardware	B-2
hardware	B-2
element	I-2
hardware	B-2
elements	I-2
Harvard	B-2
I/O	B-2
controller	I-2
I/O	B-2
controllers	I-2
I/O	B-2
device	I-2
I/O	B-2
devices	I-2
identification	B-2
input	B-2
input/output	B-2
controller	I-2
input/output	B-2
controllers	I-2
input/output	B-2
device	I-2
input/output	B-2
devices	I-2
internal	B-2
interpretation	B-2
interpreter	B-2
interpreters	B-2
laser	B-2
printer	I-2
limit	B-2
magnetic	B-2
magnetic	B-2
disc	I-2
drive	I-2
main	B-2
components	I-2
main	B-2
memory	I-2
master	B-2
memory	B-2
optical	B-2
optical	B-2
disk	I-2
organisation	B-2
organise	B-2
paging	B-2
parallelisation	B-2
portable	B-2
device	I-2
print	B-2
printer	B-2
printers	B-2
radio	B-2
frequency	I-2
identification	I-2
RAM	B-2
random-access	B-2
memory	I-2
random	B-2
access	I-2
memory	I-2
RFID	B-2
ROM	B-2
read-only	B-2
memory	I-2
read	B-2
only	I-2
memory	I-2
screen	B-2
screen	B-2
layout	I-2
screens	B-2
secondary	B-2
secondary	B-2
storage	I-2
secondary	B-2
storage	I-2
device	I-2
solid-state	B-2
disk	I-2
solid	B-2
state	I-2
disk	I-2
SSD	B-2
storage	B-2
storage	B-2
requirements	I-2
storage	B-2
space	I-2
technical	B-2
unit	B-2
virtual	B-2
virtual	B-2
machine	I-2
virtual	B-2
machines	I-2
vocabulary	B-2
dictation	I-2
system	I-2
voice	B-2
input	I-2
voice	B-2
print	I-2
recognition	B-2
Von	B-2
Neumann	I-2
allocation	B-3
backing	B-3
store	I-3
batch	B-3
batch	B-3
processing	I-3
blocked	B-3
buffering	B-3
competing	B-3
data	B-3
transfer	I-3
data	B-3
transfer	I-3
rate	I-3
data	B-3
transfer	I-3
rates	I-3
data	B-3
transmission	I-3
data	B-3
transmissions	I-3
device	B-3
driver	I-3
device	B-3
drivers	I-3
directory	B-3
double	B-3
buffering	I-3
event	B-3
event	B-3
message	I-3
event	B-3
messages	I-3
generate	B-3
interrupt	I-3
hierarchical	B-3
structure	I-3
high-level	B-3
scheduling	I-3
job	B-3
priorities	I-3
job	B-3
priority	I-3
kernel	B-3
level	B-3
manage	B-3
backing	I-3
store	I-3
manage	B-3
resources	I-3
managing	B-3
backing	I-3
store	I-3
managing	B-3
resources	I-3
memory	B-3
management	I-3
memory	B-3
protection	I-3
mode	B-3
of	I-3
operation	I-3
multi	B-3
access	I-3
multi	B-3
programming	I-3
multi	B-3
tasking	I-3
multi	B-3
user	I-3
multi-access	B-3
multi-programming	B-3
multi-tasking	B-3
multi-user	B-3
nested	B-3
operating	I-3
system	I-3
operating	B-3
system	I-3
operating system	B-3
system	I-3
kernel	I-3
operating	B-3
system	I-3
operating	B-3
systems	I-3
OS	B-3
partition	B-3
PC	B-3
peripherals	B-3
personal	B-3
computer	I-3
polling	B-3
priority	B-3
program	B-3
translator	I-3
ready	B-3
real-time	B-3
real-time	B-3
control	I-3
real-time	B-3
transaction	I-3
real	B-3
time	I-3
real	B-3
time	I-3
control	I-3
real	B-3
time	I-3
transaction	I-3
resource	B-3
management	I-3
resources	
running	B-3
scheduling	B-3
shortest	B-3
job	I-3
first	I-3
shortest	B-3
remaining	I-3
time	I-3
single-user	B-3
single	B-3
user	I-3
speed	B-3
standalone	B-3
threading	B-3
three process	B-3
process	I-3
state	I-3
three process	B-3
process	I-3
states	I-3
time-slicing	B-3
time	B-3
slicing	I-3
transaction	B-3
transaction	B-3
log	I-3
transaction	B-3
logs	I-3
transactions	B-3
user	B-3
utilities	B-3
utility	B-3
utility	B-3
program	I-3
utility	B-3
programs	I-3
utility	B-3
software	I-3
information	B-4
information	B-4
processing	I-4
error	B-4
checking	I-4
information	B-4
hiding	I-4
information	B-4
retrieval	I-4
information	B-4
system	I-4
information	B-4
systems	I-4
information	B-4
technology	I-4
IT	B-4
acceptance	B-5
adaptive	B-5
adaptive	B-5
maintenance	I-5
ambiguity	B-5
amibguities	B-5
annotated	B-5
listing	I-5
annotated	B-5
listings	I-5
annotated	B-5
test	I-5
run	I-5
annotation	B-5
annotations	B-5
apply	B-5
audience	B-5
beta	B-5
boundary	B-5
boundary	B-5
data	I-5
budget	B-5
closed	B-5
source	I-5
code	B-5
code	B-5
generation	I-5
code	B-5
optimisation	I-5
code	B-5
optimization	I-5
code	B-5
quality	I-5
commentary	B-5
commentaries	B-5
comment	B-5
comments	B-5
commercially	B-5
available	I-5
system	I-5
contemporary	B-5
application	I-5
contemporary	B-5
applications	I-5
contemporary	B-5
approach	I-5
contemporary	B-5
approaches	I-5
contemporary	B-5
architecture	I-5
contemporary	B-5
architectures	I-5
contemporary	B-5
computer	I-5
system	I-5
contemporary	B-5
computer	I-5
systems	I-5
contemporary	B-5
method	I-5
contemporary	B-5
methods	I-5
contemporary	B-5
process	I-5
contemporary	B-5
processes	I-5
correct	B-5
results	I-5
criteria	B-5
critical	B-5
path	I-5
data	B-5
model	I-5
debug	B-5
debugging	B-5
design	B-5
design	B-5
modular	I-5
structure	I-5
design	B-5
system	I-5
develop	B-5
development	B-5
development	B-5
process	I-5
development	B-5
stage	I-5
development	B-5
stages	I-5
document	B-5
documentation	B-5
evaluate	B-5
evaluation	B-5
extreme	B-5
programming	I-5
feasibility	B-5
feasibility	B-5
study	I-5
formal	B-5
method	I-5
formal	B-5
methods	I-5
functioning	B-5
system	I-5
high	B-5
level	I-5
dependability	
high-level	B-5
dependability	I-5
improvement	B-5
lexical	B-5
analysis	I-5
lifecycle	B-5
linkers	B-5
memory	B-5
requirement	I-5
memory	B-5
requirements	I-5
methodology	B-5
model	B-5
modelling	B-5
models	B-5
object	B-5
code	I-5
off	B-5
the	I-5
shelf	I-5
off-the-shelf	B-5
open	B-5
source	
open-source	B-5
program	B-5
layout	I-5
program	B-5
version	I-5
management	I-5
prototype	B-5
prototype	B-5
solution	I-5
prototype	B-5
system	I-5
prototyping	B-5
RAD	B-5
rapid	B-5
application	I-5
development	I-5
refine	B-5
refine	B-5
design	I-5
refine	B-5
designs	I-5
refine	B-5
understanding	I-5
refinement	B-5
segmentation	B-5
self	B-5
documenting	I-5
self-documenting	B-5
software	B-5
software	B-5
development	I-5
software	B-5
engineering	I-5
process	I-5
software	B-5
package	I-5
software	B-5
packages	I-5
software	B-5
system	I-5
software	B-5
systems	I-5
software	B-5
tool	I-5
software	B-5
tools	I-5
software	B-5
type	I-5
software	B-5
types	I-5
specialised	B-5
field	I-5
specialized	B-5
field	I-5
spiral	B-5
modal	I-5
stage	B-5
stages	B-5
structured	B-5
approach	I-5
structured	B-5
convention	I-5
system	B-5
design	I-5
system	B-5
specification	I-5
system	B-5
testing	I-5
systems	B-5
design	I-5
systems	B-5
specification	I-5
systems	B-5
testing	I-5
target	B-5
target	B-5
end	I-5
user	I-5
task	B-5
tasks	B-5
test	B-5
tests	B-5
testing	B-5
tool	B-5
tools	B-5
translation	B-5
translation	B-5
programs	I-5
translators	B-5
unit	B-5
test	I-5
unit	B-5
tests	I-5
unit	B-5
testing	I-5
virtual	B-5
memory	I-5
weather	B-5
forecasting	I-5
XP	B-5
0	B-6
1	B-6
ACC	B-6
accumulator	B-6
address	B-6
addressing	B-6
mode	I-6
ALU	B-6
arithmetic	B-6
